country_std,indicator_name,sex,age_group,age_categories,Year,Unemployment,GDP
Belize,Unemployment rate by sex and age,Male,25+,Adults,2020,4.887,2043.0
Belize,Unemployment rate by sex and age,Male,Under 15,Children,2020,7.222,2043.0
Benin,Unemployment rate by sex and age,Female,15-24,Youth,2020,5.148,15674.0
Benin,Unemployment rate by sex and age,Female,25+,Adults,2020,1.02,15674.0
Benin,Unemployment rate by sex and age,Female,Under 15,Children,2020,1.84,15674.0
Benin,Unemployment rate by sex and age,Male,15-24,Youth,2020,3.445,15674.0
Benin,Unemployment rate by sex and age,Male,25+,Adults,2020,1.059,15674.0
Benin,Unemployment rate by sex and age,Male,Under 15,Children,2020,1.431,15674.0
Bhutan,Unemployment rate by sex and age,Female,15-24,Youth,2020,24.736,2586.0
Bhutan,Unemployment rate by sex and age,Female,25+,Adults,2020,3.654,2586.0
Bhutan,Unemployment rate by sex and age,Female,Under 15,Children,2020,6.096,2586.0
Bhutan,Unemployment rate by sex and age,Male,15-24,Youth,2020,19.195,2586.0
Bhutan,Unemployment rate by sex and age,Male,25+,Adults,2020,2.801,2586.0
Bhutan,Unemployment rate by sex and age,Male,Under 15,Children,2020,4.217,2586.0
Bolivia,Unemployment rate by sex and age,Female,15-24,Youth,2020,16.073,36897.0
Bolivia,Unemployment rate by sex and age,Female,25+,Adults,2020,8.335,36897.0
Bolivia,Unemployment rate by sex and age,Female,Under 15,Children,2020,9.837,36897.0
Bolivia,Unemployment rate by sex and age,Male,15-24,Youth,2020,14.876,36897.0
Bolivia,Unemployment rate by sex and age,Male,25+,Adults,2020,4.336,36897.0
Bolivia,Unemployment rate by sex and age,Male,Under 15,Children,2020,6.457,36897.0
Bosnia and Herzegovina,Unemployment rate by sex and age,Female,15-24,Youth,2020,43.152,20226.0
Bosnia and Herzegovina,Unemployment rate by sex and age,Female,25+,Adults,2020,15.978,20226.0
Bosnia and Herzegovina,Unemployment rate by sex and age,Female,Under 15,Children,2020,18.553,20226.0
Bosnia and Herzegovina,Unemployment rate by sex and age,Male,15-24,Youth,2020,32.837,20226.0
Bosnia and Herzegovina,Unemployment rate by sex and age,Male,25+,Adults,2020,12.304,20226.0
Bosnia and Herzegovina,Unemployment rate by sex and age,Male,Under 15,Children,2020,14.13,20226.0
Botswana,Unemployment rate by sex and age,Female,15-24,Youth,2020,44.196,14930.0
Botswana,Unemployment rate by sex and age,Female,25+,Adults,2020,18.934,14930.0
Botswana,Unemployment rate by sex and age,Female,Under 15,Children,2020,22.65,14930.0
Botswana,Unemployment rate by sex and age,Male,15-24,Youth,2020,39.342,14930.0
Botswana,Unemployment rate by sex and age,Male,25+,Adults,2020,15.89,14930.0
Botswana,Unemployment rate by sex and age,Male,Under 15,Children,2020,19.578,14930.0
Brazil,Unemployment rate by sex and age,Female,15-24,Youth,2020,35.295,1476092.0
Brazil,Unemployment rate by sex and age,Female,25+,Adults,2020,12.409,1476092.0
Brazil,Unemployment rate by sex and age,Female,Under 15,Children,2020,16.247,1476092.0
Brazil,Unemployment rate by sex and age,Male,15-24,Youth,2020,26.447,1476092.0
Brazil,Unemployment rate by sex and age,Male,25+,Adults,2020,8.836,1476092.0
Brazil,Unemployment rate by sex and age,Male,Under 15,Children,2020,11.799,1476092.0
Brunei,Unemployment rate by sex and age,Female,15-24,Youth,2020,33.654,12006.0
Brunei,Unemployment rate by sex and age,Female,25+,Adults,2020,5.588,12006.0
Brunei,Unemployment rate by sex and age,Female,Under 15,Children,2020,8.848,12006.0
Brunei,Unemployment rate by sex and age,Male,15-24,Youth,2020,23.21,12006.0
Brunei,Unemployment rate by sex and age,Male,25+,Adults,2020,3.997,12006.0
Brunei,Unemployment rate by sex and age,Male,Under 15,Children,2020,6.395,12006.0
Bulgaria,Unemployment rate by sex and age,Female,15-24,Youth,2020,13.678,70658.0
Bulgaria,Unemployment rate by sex and age,Female,25+,Adults,2020,4.436,70658.0
Bulgaria,Unemployment rate by sex and age,Female,Under 15,Children,2020,4.764,70658.0
Bulgaria,Unemployment rate by sex and age,Male,15-24,Youth,2020,14.561,70658.0
Bulgaria,Unemployment rate by sex and age,Male,25+,Adults,2020,4.994,70658.0
Bulgaria,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.423,70658.0
Burkina Faso,Unemployment rate by sex and age,Female,15-24,Youth,2020,8.84,17837.0
Burkina Faso,Unemployment rate by sex and age,Female,25+,Adults,2020,3.566,17837.0
Burkina Faso,Unemployment rate by sex and age,Female,Under 15,Children,2020,4.948,17837.0
Burkina Faso,Unemployment rate by sex and age,Male,15-24,Youth,2020,8.576,17837.0
Burkina Faso,Unemployment rate by sex and age,Male,25+,Adults,2020,4.021,17837.0
Burkina Faso,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.313,17837.0
Burundi,Unemployment rate by sex and age,Female,15-24,Youth,2020,1.388,3089.0
